              POLÍCIA MILTAR DO ESTADO DE SÃO PAULO;;;;;;;;;;;;;;
CORPO DE BOMBEIROS;;;;;;;;;;;;;;
17GB JUN24 ;;;;;;;;;;;;;;
;;; ;;;;;;;;;;;
RELATÓRIO MENSAL DE CONSUMO DE COMBUSTÍVEIS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
GB;VIATURA;PLACA;DATA                                        ABASTECIMENTO;HODÔMETRO;VOLUME; VALOR                     TOTAL R$ ;POSTO; COMBUSTÍVEL ;;;;;;
17GB;TP-17001;SWH-6I87;20/06/2024;1820;31,93; R$127,43 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;21/06/2024;1979;20,48; R$81,75 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;24/06/2024;2123;15,38; R$61,38 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;25/06/2024;2376;29,46; R$117,58 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;26/06/2024;2528;17,10; R$68,24 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;27/06/2024;2687;19,80; R$79,03 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;28/06/2024;2846;17,94; R$71,60 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17003;FHN-0083;03/06/2024;177035;21,59; R$86,12 ;POSTO EQUIPE QUALITY;ETANOL COMUM;ANTIGA TP-17000;;;;;
17GB;TP-17003;FHN-0083;05/06/2024;177175;21,12; R$84,27 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17003;FHN-0083;10/06/2024;177322;20,17; R$80,48 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17003;FHN-0083;18/06/2024;177462;23,09; R$92,14 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17003;FHN-0083;21/06/2024;177602;14,13; R$56,41 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17004;GAX-8077;05/06/2024;271750;19,29; R$75,07 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17004;GAX-8077;07/06/2024;271971;33,79; R$134,84 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17004;GAX-8077;17/06/2024;272240;39,44; R$157,37 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17004;GAX-8077;17/06/2024;272333;8,18; R$32,65 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17004;GAX-8077;24/06/2024;272506;37,09; R$148,00 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17004;GAX-8077;27/06/2024;272684;22,10; R$88,18 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17101;DBS3679;10/06/2024;303871;40,80; R$162,77 ;POSTO EQUIPE QUALITY;ETANOL COMUM;ANTIGA TP-17001;;;;;
17GB;TP-17101;DBS3679;12/06/2024;304048;18,00; R$71,83 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB; UR-17102;FYC-1A73;01/06/2024;8231;37,01; R$232,81 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB; UR-17102;FYC-1A73;02/06/2024;8344;16,19; R$101,87 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
