FCD,GEFROE,NEO,DATA,PREFIXO,KM,SERVIÇOS,EMPRESA,VALOR,RESULTADO,,
*****,*****,*****,19/01/2022,MOB-17101,58650,TROCA DA BATERIA (BATERIA FORNECIDA PELO CSM/MOpB),MOTOMEC,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,19/01/2022,MOB-17104,50663,TROCA DA BATERIA (BATERIA FORNECIDA PELO CSM/MOpB),MOTOMEC,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,19/01/2022,CM-17102,33662,MONTAGEM E TROCA DE 01 PNEU (PNEU EXTERNO LD DO EIXO DIANTEIRO DA CARRETA),RE9 DIESEL,"R$ 60,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,2491,21/02/2022,CM-17102,34705,limpeza do radiador com varetagem; limpeza do intercoler; limpeza do reservatório e linha de arrefecimento; troca do fluido de arrefecimento; troca do kit de coxim da cabine.,INJETRONIC,"R$ 2.043,33",FINALIZADA NA NEO,,
*****,*****,2492,31/01/2022,ASE-17101,149400,troca do parabrisa dianteiro,COSMORAMA,"R$ 1.345,00",FINALIZADA NA NEO,,
*****,*****,2493,03/02/2022,VO-17008,197200,troca do parabrisa dianteiro,R 9 AUTO PECAS E SERVICOS,"R$ 1.015,50",FINALIZADA NA NEO,,
*****,*****,2494,10/02/2022,TP-17001,277400,"1. Fornecer e substituir o vidro do parabrisa dianteiro, conforme especificações do fabricante;
 2. Fornecer e substituir/instalar o retrovisor interno.",R 9 AUTO PECAS E SERVICOS,"R$ 985,00",FINALIZADA NA NEO,,
*****,*****,*****,26/01/2022,CM-17102,34057,INSPEÇÃO DE FREIO,RE9 DIESEL,"R$ 250,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,2499,*****,RE-17102,*****,"1. Fornecer e substituir 08 (oito) pneus para caminhão, destinados ao reboque, dimensões 295/80 r22,5, construção radial, aro 22,5, ic 152/148, cod. vel. “m”, novo (primeira vida), com certificação compulsória inmetro. Atendendo a norma ABNT NBR 15296/2005;
 2. Efetuar o balanceamento e calibragem dos referidos pneus, conforme especificações do fabricante.",*****,R$ -,CANCELADA NA NEO,,
*****,*****,2506,19/03/2022,AC-17002,138400,"1. Fornecer e substituir as pastilhas de freio, conforme especificação do fabricante; (OBS.: PRÓXIMA INSPEÇÃO COM 141000 KM)
 2. Efetuar a revisão e regulagem do sistema de freios dianteiro e traseiro.",R 9 AUTO PECAS E SERVICOS,"R$ 523,00",FINALIZADA NA NEO,,
*****,*****,2507,*****,AB-17201,*****,"1. Fornecer e substituir o kit de embreagem;
 2. Recondicionar o câmbio;
 3. Executar a montagem do câmbio, deixando em plenas condições de uso.",*****,R$ -,CANCELADA NA NEO,,
*****,*****,*****,02/02/2022,VO-17103,10312,REVISÃO DOS 10.000 KM => TROCA DE ÓLEO E FILTRO DE ÓLEO,DESTAQUE FIAT MOGI,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,03/02/2022,AC-17002,134800,TROCA DAS PASTILHAS DE FREIO,BF DIESEL,"R$ 200,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,02/02/2022,MT-17004,62086,TROCA DE ÓLEO,MOTOMEC,R$ -,NÃO HOUVE O.S. GEFROE,,
